PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
372,1,Passenger_372,female,nan,1.0,0,37531,44.63,C120,S,1
855,2,Passenger_855,female,41.6,2.0,2,29830,115.99,,Q,1
832,3,Passenger_832,female,40.6,3.0,4,82672,51.83,C120,S,0
229,3,Passenger_229,male,30.4,4.0,0,11036,-3.79,,S,1
927,2,Passenger_927,female,22.9,2.0,3,21941,85.55,C147,S,1
643,2,Passenger_643,male,20.1,1.0,0,89500,47.65,B81,C,0
904,3,Passenger_904,female,,3.0,3,47485,,E102,C,1
426,3,Passenger_426,male,39.7,3.0,1,73714,73.83,,S,1
60,2,Passenger_60,male,60.0,0.0,4,74322,113.97,D136,S,1
167,2,Passenger_167,female,16.8,3.0,2,64169,80.4,,S,0
512,2,Passenger_512,male,24.9,0.0,4,88701,-25.07,B142,S,1
693,3,Passenger_693,female,13.3,0.0,3,65474,38.73,C41,C,1
984,1,Passenger_984,male,33.4,4.0,0,27957,71.17,C14,C,1
633,3,Passenger_633,male,27.8,4.0,0,77976,,D85,S,0
735,2,Passenger_735,female,28.8,3.0,4,44675,46.09,D69,S,0
40,2,Passenger_40,male,49.1,2.0,1,84493,70.3,B127,S,0
861,3,Passenger_861,male,30.8,2.0,2,40693,4.51,A53,C,1
890,2,Passenger_890,male,32.2,1.0,1,88472,88.21,C104,C,1
812,3,Passenger_812,male,-11.2,0.0,2,72540,13.91,nan121,C,0
459,1,Passenger_459,male,24.0,2.0,3,73405,,nan141,S,0
235,1,Passenger_235,male,24.9,2.0,1,49730,65.15,E63,C,0
260,1,Passenger_260,male,37.1,0.0,4,54500,-0.13,A102,S,1
294,2,Passenger_294,female,66.4,1.0,3,47690,79.62,D79,C,1
189,3,Passenger_189,female,10.9,1.0,4,45655,-10.33,B82,S,1
205,3,Passenger_205,male,46.8,4.0,0,42550,138.83,A116,C,1
768,3,Passenger_768,male,,1.0,2,60572,55.86,D38,C,1
988,2,Passenger_988,male,18.4,4.0,3,48426,-13.15,D93,S,1
879,1,Passenger_879,male,29.6,3.0,1,37930,87.28,B137,C,1
528,2,Passenger_528,male,32.8,2.0,4,31319,-9.85,A15,Q,0
371,1,Passenger_371,female,32.0,0.0,4,56071,,nan125,C,0
615,3,Passenger_615,female,19.6,0.0,1,33485,58.83,C148,C,1
215,3,Passenger_215,female,50.6,4.0,1,77860,,E100,S,0
245,1,Passenger_245,female,43.9,1.0,1,75509,41.16,B123,S,1
280,3,Passenger_280,male,40.3,3.0,4,53012,116.05,C27,S,0
796,3,Passenger_796,female,49.2,0.0,2,29622,28.13,C88,,0
396,3,Passenger_396,female,35.1,1.0,2,92633,116.96,A142,S,0
467,2,Passenger_467,female,23.7,3.0,0,40326,61.88,E68,S,0
470,3,Passenger_470,female,41.9,0.0,3,20151,12.77,C31,S,0
536,3,Passenger_536,male,57.1,4.0,4,45098,150.07,B101,C,1
382,3,Passenger_382,male,54.8,1.0,2,63518,84.47,D65,S,1
213,3,Passenger_213,female,10.8,0.0,4,99165,98.12,D127,S,0
716,3,Passenger_716,male,49.5,2.0,0,51901,54.49,D78,C,1
510,3,Passenger_510,female,37.7,1.0,2,35392,70.82,nan31,S,0
803,3,Passenger_803,female,37.3,3.0,2,37051,52.88,,S,0
125,2,Passenger_125,female,19.0,2.0,0,90759,55.77,E59,S,1
329,2,Passenger_329,male,8.6,0.0,0,13109,49.36,E104,S,0
200,3,Passenger_200,male,32.6,3.0,2,31925,66.93,E143,S,0
287,3,Passenger_287,male,22.6,4.0,4,29564,-6.36,B81,S,1
474,3,Passenger_474,female,44.4,3.0,2,14314,-53.54,E141,S,1
613,3,Passenger_613,female,21.3,3.0,4,61819,54.97,D35,C,1
753,3,Passenger_753,male,38.9,4.0,3,57427,-15.87,,S,1
340,1,Passenger_340,male,38.3,3.0,3,90840,62.79,C45,,0
109,2,Passenger_109,male,19.7,4.0,0,72096,52.57,B141,S,1
384,3,Passenger_384,female,23.6,3.0,3,97731,5.68,,S,0
172,1,Passenger_172,female,nan,3.0,1,82123,17.14,C13,S,1
356,3,Passenger_356,male,28.3,2.0,4,23039,15.28,C141,S,1
649,3,Passenger_649,male,,4.0,0,24029,41.76,E40,S,0
929,3,Passenger_929,female,23.7,1.0,1,23557,67.02,B102,S,0
503,2,Passenger_503,male,0.3,2.0,1,54363,36.84,B95,S,1
318,1,Passenger_318,male,35.9,2.0,0,59315,29.31,A47,C,1
763,2,Passenger_763,male,15.0,1.0,4,64609,26.77,D54,S,0
568,2,Passenger_568,female,41.3,4.0,4,53731,44.93,B55,C,1
718,3,Passenger_718,male,27.1,4.0,1,16033,46.08,C120,S,0
494,1,Passenger_494,female,25.1,2.0,0,53485,28.02,nan6,S,1
78,1,Passenger_78,male,22.2,4.0,0,25024,3.25,C79,S,1
242,3,Passenger_242,male,37.5,0.0,0,97294,106.27,D67,S,1
816,3,Passenger_816,female,24.6,4.0,1,80430,0.15,,S,0
489,3,Passenger_489,female,,2.0,1,96443,,,S,0
578,3,Passenger_578,male,15.1,1.0,1,82575,-13.23,nan94,S,0
424,3,Passenger_424,male,30.9,1.0,2,53708,,nan15,S,1
785,1,Passenger_785,female,38.7,1.0,3,38094,101.47,C64,,1
177,3,Passenger_177,female,21.4,1.0,2,90762,22.51,C11,,1
140,3,Passenger_140,female,,0.0,0,83700,-12.52,E30,S,1
68,3,Passenger_68,male,27.9,4.0,2,84239,7.2,E136,S,1
236,3,Passenger_236,female,,2.0,1,11808,65.11,D58,S,1
553,3,Passenger_553,male,-0.4,0.0,4,55621,97.33,E150,C,0
45,2,Passenger_45,female,,4.0,4,13873,74.83,E70,S,0
520,1,Passenger_520,male,24.0,4.0,4,92261,57.73,C11,S,1
390,3,Passenger_390,female,47.2,2.0,2,80355,97.27,A17,S,0
88,3,Passenger_88,male,19.2,3.0,0,63105,63.55,D22,C,0
91,1,Passenger_91,female,34.6,1.0,4,76915,-14.86,,C,0
948,3,Passenger_948,female,38.9,4.0,3,69557,102.84,nan117,S,0
25,3,Passenger_25,male,16.1,0.0,0,77320,30.48,E107,C,1
288,3,Passenger_288,male,38.2,0.0,4,45050,33.65,nan130,C,0
672,3,Passenger_672,female,33.3,2.0,3,43597,6.23,C43,S,1
500,3,Passenger_500,female,,1.0,4,90065,35.22,E149,S,1
271,3,Passenger_271,male,34.3,4.0,3,71180,105.97,A108,S,1
663,3,Passenger_663,female,26.9,0.0,0,33876,43.54,B32,S,1
243,3,Passenger_243,male,46.6,2.0,1,85919,64.46,nan92,S,0
31,3,Passenger_31,male,31.5,4.0,1,18404,36.65,,S,1
755,1,Passenger_755,female,4.8,3.0,0,84693,22.97,,S,0
764,3,Passenger_764,male,33.3,3.0,2,10256,39.68,C114,,1
253,3,Passenger_253,male,36.4,0.0,0,39708,9.1,D91,S,0
285,3,Passenger_285,female,35.6,0.0,4,38444,40.87,nan104,S,1
688,2,Passenger_688,female,17.9,0.0,1,15054,90.0,C9,C,1
538,2,Passenger_538,female,20.5,1.0,2,53296,64.25,nan5,S,1
526,3,Passenger_526,female,46.6,4.0,3,11464,63.87,C107,C,0
317,2,Passenger_317,female,28.3,2.0,0,38356,-6.85,D6,S,0
398,2,Passenger_398,male,18.8,1.0,4,50516,106.2,D148,S,0
949,3,Passenger_949,female,25.4,2.0,2,25501,64.09,E66,S,0
451,3,Passenger_451,male,25.9,1.0,0,47033,97.75,C77,C,0
190,2,Passenger_190,male,26.9,2.0,3,68271,3.72,A41,S,0
741,3,Passenger_741,female,39.8,0.0,4,33826,-18.32,,S,0
187,3,Passenger_187,male,-5.8,2.0,3,95140,103.66,E118,S,1
714,2,Passenger_714,female,40.9,3.0,3,97630,100.5,A101,C,1
705,1,Passenger_705,female,48.3,3.0,2,94862,-44.29,nan130,S,1
93,3,Passenger_93,female,2.1,4.0,3,57990,74.59,A71,S,0
432,3,Passenger_432,female,-10.9,4.0,0,70569,110.38,D79,C,0
121,3,Passenger_121,female,31.9,2.0,4,57703,100.12,nan137,S,1
123,2,Passenger_123,male,39.9,3.0,2,99610,112.35,,S,1
534,3,Passenger_534,female,,3.0,4,67258,,C36,C,0
961,1,Passenger_961,male,63.8,3.0,1,17417,-5.58,C16,Q,0
313,1,Passenger_313,male,,0.0,3,26923,59.93,E115,S,0
915,3,Passenger_915,male,21.4,3.0,2,98585,45.0,C35,S,1
2,3,Passenger_2,female,62.1,2.0,2,33137,,B30,C,0
827,2,Passenger_827,female,40.2,1.0,1,51208,,,Q,1
597,3,Passenger_597,male,28.1,4.0,0,82583,11.46,E40,C,0
81,3,Passenger_81,male,24.7,0.0,1,10101,95.71,nan8,S,1
769,2,Passenger_769,male,150.0,3.0,4,39444,37.18,B77,,0
154,3,Passenger_154,male,37.8,1.0,0,37895,35.37,C18,Q,1
279,3,Passenger_279,male,36.9,4.0,2,94117,53.37,D8,C,1
851,1,Passenger_851,female,7.5,2.0,0,87517,34.71,E99,S,1
671,1,Passenger_671,male,39.9,4.0,2,28994,22.95,nan102,S,1
156,2,Passenger_156,female,11.6,0.0,1,88488,,C76,S,0
798,3,Passenger_798,female,73.9,3.0,2,85034,21.15,E2,S,1
595,3,Passenger_595,male,37.2,2.0,1,51336,114.84,E140,S,0
297,3,Passenger_297,male,40.5,2.0,3,61225,0.66,,S,1
552,3,Passenger_552,male,28.3,0.0,2,59736,82.8,B111,C,1
505,3,Passenger_505,female,48.2,2.0,2,52193,1.67,E33,S,1
722,1,Passenger_722,male,,2.0,3,22306,21.16,C27,S,1
960,3,Passenger_960,male,27.3,4.0,3,45898,47.75,C1,C,0
946,1,Passenger_946,female,53.0,3.0,1,68646,70.45,nan32,,1
331,2,Passenger_331,female,22.3,2.0,4,54267,21.11,C131,C,1
622,2,Passenger_622,male,28.8,3.0,1,65129,82.36,D140,S,1
29,3,Passenger_29,female,37.7,4.0,2,42987,62.77,B56,S,1
943,3,Passenger_943,male,17.8,1.0,0,68298,62.84,A97,S,1
14,2,Passenger_14,female,29.1,0.0,4,65138,-10.0,D111,S,1
150,2,Passenger_150,male,36.6,2.0,1,27413,35.44,nan71,Q,1
324,2,Passenger_324,female,24.4,3.0,4,86492,-3.03,C73,S,0
443,2,Passenger_443,female,21.0,0.0,2,64043,77.93,,S,1
539,3,Passenger_539,female,37.2,1.0,3,10336,-6.49,B99,S,0
122,3,Passenger_122,female,27.9,3.0,0,29186,65.67,,S,0
668,1,Passenger_668,female,49.8,2.0,3,43979,30.27,nan149,S,1
611,1,Passenger_611,female,30.6,1.0,0,14107,59.41,C5,,0
731,1,Passenger_731,male,37.6,2.0,4,93954,46.04,,C,0
30,1,Passenger_30,female,16.4,1.0,4,53118,55.24,nan12,S,1
127,3,Passenger_127,male,4.3,0.0,1,44400,27.11,,C,1
699,1,Passenger_699,female,34.0,1.0,3,99901,60.25,A97,S,0
862,3,Passenger_862,female,33.9,2.0,3,69183,14.29,nan117,C,1
291,1,Passenger_291,female,34.3,1.0,2,33253,55.98,,S,0
598,1,Passenger_598,male,43.3,1.0,4,67529,3.81,E76,S,0
559,3,Passenger_559,female,,3.0,2,58197,51.17,A63,C,1
128,3,Passenger_128,male,37.1,2.0,3,22346,18.4,B29,S,1
573,2,Passenger_573,male,29.7,2.0,3,65526,54.73,E126,C,1
953,1,Passenger_953,female,30.6,2.0,4,64381,93.27,B39,S,0
12,3,Passenger_12,male,33.9,3.0,0,89468,36.45,A15,S,1
370,1,Passenger_370,female,14.3,0.0,4,50076,66.48,,S,1
7,1,Passenger_7,female,49.4,3.0,3,53930,,E41,S,1
198,3,Passenger_198,female,35.5,4.0,3,62108,78.69,A100,,0
214,2,Passenger_214,male,7.4,3.0,0,61464,81.02,B87,C,0
170,3,Passenger_170,female,38.4,2.0,4,17751,66.68,A46,S,0
765,1,Passenger_765,male,59.0,1.0,0,74315,43.61,,S,1
579,3,Passenger_579,female,43.3,3.0,0,40103,47.56,B63,S,0
413,3,Passenger_413,female,34.1,1.0,4,24305,7.55,D61,S,1
126,2,Passenger_126,female,11.4,2.0,3,64933,83.07,nan96,S,0
51,3,Passenger_51,female,12.6,3.0,0,66152,70.11,C115,S,1
642,2,Passenger_642,female,29.2,4.0,1,30337,51.99,A35,S,0
164,3,Passenger_164,female,36.8,2.0,0,67571,57.5,,Q,1
667,2,Passenger_667,female,14.7,0.0,3,66961,98.49,D60,S,1
959,1,Passenger_959,male,-5.9,0.0,4,23605,81.07,D127,Q,1
679,3,Passenger_679,male,29.5,3.0,3,54490,44.19,B70,S,0
547,1,Passenger_547,female,39.4,3.0,3,47688,67.74,D81,S,0
700,3,Passenger_700,female,33.6,2.0,3,23065,69.34,A109,,0
529,1,Passenger_529,female,34.0,2.0,4,41924,53.08,,S,0
436,3,Passenger_436,female,15.9,2.0,2,18615,16.69,,C,1
314,3,Passenger_314,male,,4.0,0,39713,-15.02,D99,C,0
964,2,Passenger_964,female,26.3,3.0,1,95804,51.74,,S,0
491,3,Passenger_491,male,38.1,2.0,4,78246,27.15,D139,S,0
610,3,Passenger_610,female,37.7,4.0,3,44037,-15.32,E3,C,1
617,1,Passenger_617,female,21.4,2.0,3,82161,29.95,C112,C,0
900,1,Passenger_900,female,32.7,2.0,4,92257,45.68,E120,S,0
430,1,Passenger_430,male,,0.0,3,48930,44.56,E31,S,0
807,3,Passenger_807,male,27.2,3.0,1,97376,115.26,B62,C,1
415,3,Passenger_415,female,36.5,2.0,3,74929,68.92,B139,S,0
572,3,Passenger_572,male,25.1,3.0,1,63975,,A73,S,1
15,1,Passenger_15,female,19.4,0.0,1,76936,,nan69,S,0
704,1,Passenger_704,male,5.5,3.0,2,49783,94.2,E120,C,1
956,2,Passenger_956,male,22.8,4.0,4,44543,123.93,A121,S,0
222,3,Passenger_222,male,23.2,2.0,1,35004,35.3,A140,C,0
881,2,Passenger_881,female,20.3,2.0,4,26785,93.36,D100,S,1
62,2,Passenger_62,female,34.3,2.0,3,81162,61.32,E90,S,1
791,1,Passenger_791,female,5.2,0.0,2,89212,46.61,C79,S,1
95,3,Passenger_95,male,47.2,3.0,0,94499,76.28,E11,S,0
627,3,Passenger_627,female,25.7,1.0,3,92825,,D87,S,1
666,1,Passenger_666,male,,0.0,1,79517,6.43,E20,S,0
79,2,Passenger_79,male,,1.0,0,58645,-55.08,B100,S,1
619,3,Passenger_619,male,,2.0,2,95452,63.16,C62,S,1
683,1,Passenger_683,female,,0.0,4,14699,3.67,E95,C,1
311,2,Passenger_311,female,46.8,2.0,3,15659,49.59,E3,C,0
975,1,Passenger_975,male,25.0,1.0,1,21174,,E69,S,1
206,1,Passenger_206,male,27.8,3.0,3,63466,,D85,C,1
847,1,Passenger_847,female,30.0,3.0,4,61141,27.34,C42,C,1
592,3,Passenger_592,female,,0.0,3,48340,89.81,D110,S,1
341,3,Passenger_341,female,40.9,4.0,4,69798,69.4,,C,1
636,2,Passenger_636,female,19.5,0.0,3,44400,45.81,nan80,C,1
865,2,Passenger_865,female,-12.3,4.0,0,56498,54.07,C87,C,0
411,2,Passenger_411,male,41.1,1.0,4,32243,28.55,D38,S,1
416,2,Passenger_416,female,29.5,1.0,4,52657,41.46,E18,S,1
71,3,Passenger_71,male,22.2,1.0,2,76947,56.29,D74,C,0
105,3,Passenger_105,female,32.4,0.0,4,81190,49.93,C110,S,1
626,2,Passenger_626,female,9.6,0.0,2,29069,95.09,D94,,1
771,1,Passenger_771,male,12.8,4.0,3,84298,,C4,S,0
410,1,Passenger_410,female,22.6,2.0,4,41039,-5.34,D35,C,1
299,3,Passenger_299,male,48.1,2.0,3,70126,108.22,B65,S,0
706,3,Passenger_706,female,,3.0,4,78697,29.4,B96,S,0
941,2,Passenger_941,male,35.3,3.0,1,65470,-5.89,C45,Q,1
20,2,Passenger_20,female,14.5,4.0,2,28336,57.08,A54,S,1
845,1,Passenger_845,female,,0.0,3,95342,32.3,,S,1
580,2,Passenger_580,female,53.9,0.0,1,21668,27.92,E17,C,1
563,1,Passenger_563,female,40.3,4.0,3,81422,145.63,E54,C,1
945,2,Passenger_945,female,13.3,3.0,0,60452,80.53,D49,S,0
136,2,Passenger_136,male,28.6,4.0,3,37356,58.0,C110,,1
892,3,Passenger_892,male,,0.0,0,30397,141.13,,S,0
359,3,Passenger_359,female,15.7,1.0,2,14247,107.83,B122,S,1
746,3,Passenger_746,female,36.3,1.0,3,35556,79.38,nan37,C,0
302,3,Passenger_302,male,12.9,1.0,2,64857,31.85,nan71,C,1
460,1,Passenger_460,female,46.1,1.0,1,52425,27.24,nan24,C,0
85,2,Passenger_85,male,20.9,3.0,4,69397,152.8,nan38,S,1
303,3,Passenger_303,male,27.1,4.0,4,79343,27.04,B105,Q,1
73,1,Passenger_73,female,28.8,2.0,0,58566,65.94,,S,1
197,3,Passenger_197,male,22.4,1.0,1,97840,34.91,nan103,S,1
171,3,Passenger_171,male,51.4,4.0,2,90986,65.28,E23,S,0
342,3,Passenger_342,male,22.3,2.0,1,74134,31.29,C91,S,1
19,2,Passenger_19,male,16.2,1.0,1,88559,90.54,C69,C,1
870,3,Passenger_870,male,nan,4.0,3,24820,43.24,B128,S,0
433,3,Passenger_433,female,36.1,2.0,0,53121,40.39,nan84,C,0
822,1,Passenger_822,male,10.7,0.0,2,99314,,,C,1
854,3,Passenger_854,female,16.8,4.0,4,68340,22.81,nan6,S,0
363,3,Passenger_363,male,26.8,3.0,2,70537,,nan53,C,0
383,3,Passenger_383,female,53.3,1.0,3,20758,,B61,C,1
659,3,Passenger_659,male,27.0,1.0,3,31949,90.71,,S,1
994,3,Passenger_994,female,33.2,4.0,4,45997,37.23,E27,S,0
939,1,Passenger_939,male,8.2,3.0,2,36623,13.89,,S,1
772,3,Passenger_772,male,37.0,4.0,3,61940,-15.7,,S,0
842,3,Passenger_842,male,28.0,2.0,0,72070,77.33,,S,1
853,2,Passenger_853,male,19.2,3.0,0,30231,20.19,B134,S,1
638,2,Passenger_638,female,,2.0,0,49469,35.53,nan93,S,1
646,3,Passenger_646,male,7.8,4.0,1,38575,52.61,A88,S,0
779,3,Passenger_779,male,45.2,3.0,2,19787,150.46,D66,,0
838,2,Passenger_838,male,17.7,1.0,0,49738,25.6,nan79,S,1
24,2,Passenger_24,male,8.0,2.0,4,82637,73.86,,C,0
834,1,Passenger_834,male,39.9,2.0,0,52800,5.58,nan64,S,0
283,2,Passenger_283,female,32.5,2.0,4,49725,,A104,S,1
368,3,Passenger_368,male,51.6,1.0,1,45844,46.22,A72,C,1
11,1,Passenger_11,male,40.6,0.0,1,70787,-45.06,C137,S,0
407,2,Passenger_407,female,30.9,3.0,3,89532,55.71,C86,C,0
509,3,Passenger_509,female,41.8,2.0,4,94478,3.3,C150,C,0
749,3,Passenger_749,female,13.3,2.0,2,73115,50.44,B131,S,1
290,3,Passenger_290,male,30.3,2.0,0,36763,77.18,C99,S,0
401,1,Passenger_401,male,29.7,2.0,1,36047,106.41,A110,,0
35,3,Passenger_35,male,,4.0,3,53698,5.46,E36,Q,1
184,3,Passenger_184,female,46.7,2.0,1,34074,24.47,D2,S,1
41,1,Passenger_41,male,31.8,3.0,3,14946,13.36,E72,C,1
248,3,Passenger_248,male,51.0,0.0,3,17325,57.49,C105,S,0
869,3,Passenger_869,female,32.9,3.0,4,62076,,D68,S,1
682,2,Passenger_682,male,3.7,4.0,3,38581,46.06,B97,S,1
