bedrooms,bathrooms,sqft,age_years,garage_spaces,neighborhood,price
5,3,1999,31,2,Downtown,434568
2,3,2207,20,2,Suburbs,378994
3,2,1614,45,1,Waterfront,464644
1,2,1282,4,0,Rural,145687
2,3,1043,5,2,Downtown,233199
2,2,2488,37,2,Waterfront,685233
4,2,2552,21,3,Suburbs,455943
5,1,2151,17,0,Suburbs,344526
3,3,1733,13,2,Downtown,374032
1,3,1188,9,0,Suburbs,217293
4,2,2282,45,1,Suburbs,347795
5,3,1450,12,2,Suburbs,304535
4,1,1644,30,2,Waterfront,520778
5,1,1707,29,2,Waterfront,543183
5,1,1901,2,3,Suburbs,403643
3,3,1620,29,2,Rural,202689
5,3,2017,5,3,Suburbs,377648
4,3,1689,28,2,Downtown,356832
5,3,2351,7,2,Suburbs,447726
3,3,2516,43,2,Downtown,487955
3,1,2054,44,2,Suburbs,352271
4,2,2231,42,0,Downtown,436387
2,1,3059,43,2,Downtown,596331
2,3,1414,32,0,Waterfront,395048
5,1,1383,16,2,Downtown,306527
1,3,2347,47,2,Suburbs,364005
5,3,2973,10,0,Downtown,603228
4,1,1870,12,1,Suburbs,320371
4,3,2863,49,3,Suburbs,536641
4,2,2048,10,2,Waterfront,704083
4,3,1660,30,1,Suburbs,302915
4,2,1505,27,2,Downtown,342177
3,2,2315,43,2,Suburbs,376977
2,3,1543,5,2,Downtown,314857
4,1,2041,40,3,Suburbs,351454
1,2,2792,15,2,Suburbs,462682
1,1,1847,3,1,Rural,235057
1,2,2657,34,2,Downtown,520975
1,3,1393,47,2,Suburbs,196214
3,3,1733,25,1,Downtown,354764
1,2,1296,11,1,Suburbs,187587
4,3,2036,10,1,Suburbs,386852
5,2,2390,36,2,Rural,283306
1,3,2038,24,2,Downtown,400625
3,1,2614,17,2,Downtown,531036
3,3,1625,18,3,Suburbs,359134
1,1,2113,22,2,Downtown,409646
5,3,1736,37,1,Downtown,373162
1,1,2181,17,1,Suburbs,316805
3,3,2252,25,2,Downtown,492709
2,1,2291,5,1,Downtown,445383
4,2,1465,3,2,Waterfront,544713
3,2,1555,43,2,Suburbs,289881
1,1,1648,28,1,Downtown,298155
4,3,1881,33,2,Downtown,376055
1,1,2044,16,2,Suburbs,334990
1,3,2354,42,2,Downtown,435430
2,2,1576,42,1,Suburbs,254180
4,3,1199,15,2,Downtown,313089
4,2,3078,1,0,Suburbs,478109
2,3,1434,33,3,Suburbs,262933
3,3,2418,7,0,Suburbs,419416
1,3,2016,12,2,Waterfront,623383
5,1,2126,41,2,Suburbs,342077
1,1,1999,7,3,Downtown,410847
1,2,1808,29,1,Downtown,365635
3,2,2232,31,1,Suburbs,374163
1,1,1781,35,0,Downtown,315213
2,2,2583,46,1,Downtown,505760
2,1,2284,29,1,Waterfront,636153
4,3,2300,0,2,Suburbs,385373
5,2,1746,42,1,Suburbs,304954
1,2,1882,38,0,Suburbs,293974
1,1,1406,16,2,Suburbs,254685
3,2,1823,19,1,Downtown,385039
2,2,1482,23,1,Waterfront,464479
5,3,2657,49,1,Downtown,557282
4,2,2025,21,3,Waterfront,654335
2,3,2085,28,1,Waterfront,612258
4,1,1887,21,2,Waterfront,626249
3,2,2099,43,2,Suburbs,325115
3,3,3232,8,0,Downtown,639622
1,1,1850,36,3,Suburbs,284155
5,2,1675,9,1,Suburbs,336724
4,1,2265,35,0,Suburbs,366868
2,2,800,36,2,Waterfront,266552
3,1,2032,27,2,Suburbs,376874
1,1,1814,27,2,Downtown,326025
1,3,1504,41,1,Downtown,290008
4,1,2254,42,2,Suburbs,374479
3,2,2027,20,2,Suburbs,360697
5,2,1099,23,1,Waterfront,436961
3,3,1677,41,1,Suburbs,271905
4,2,800,39,0,Waterfront,246952
4,2,2147,1,1,Waterfront,666905
3,2,2142,7,2,Waterfront,668089
4,1,1603,47,2,Downtown,334889
3,1,2270,26,3,Waterfront,698006
2,2,1359,21,1,Downtown,313628
3,3,1517,36,2,Downtown,357110
3,1,2209,26,1,Suburbs,387348
4,3,1656,28,1,Suburbs,347639
4,2,1969,2,1,Downtown,439243
1,2,1718,43,1,Downtown,339239
1,1,1795,12,2,Downtown,369112
2,2,1816,44,3,Rural,225939
1,1,1647,9,2,Downtown,336080
3,2,2151,35,1,Downtown,415883
4,2,1686,8,0,Suburbs,273970
1,1,2008,26,1,Suburbs,308563
1,1,1636,33,2,Rural,193207
2,1,1233,0,2,Downtown,272558
2,2,2456,31,3,Suburbs,385626
3,2,2250,24,0,Suburbs,362147
4,3,3144,28,2,Rural,365696
2,1,1478,6,2,Suburbs,258455
1,2,1896,48,2,Waterfront,543209
4,2,1936,2,2,Downtown,440559
4,1,2495,19,2,Suburbs,415702
1,3,1746,19,2,Suburbs,313089
2,1,1414,29,1,Waterfront,437842
1,3,2604,34,2,Downtown,503909
4,2,1842,34,1,Downtown,393997
5,3,2439,48,2,Suburbs,442583
5,2,2381,38,2,Downtown,475045
3,1,1985,26,2,Downtown,424004
1,1,1913,25,3,Rural,203597
1,1,1804,13,2,Suburbs,281279
3,3,1992,16,2,Suburbs,355786
3,2,2432,17,2,Waterfront,699138
3,1,1602,44,2,Suburbs,272779
4,1,2054,28,2,Downtown,445832
1,2,1441,19,2,Downtown,258205
4,1,1503,26,2,Suburbs,295222
3,2,1985,17,3,Suburbs,339204
1,2,1020,3,3,Suburbs,199625
4,2,3030,0,2,Downtown,613579
4,2,1403,49,1,Suburbs,255479
3,2,1980,0,1,Rural,261994
1,3,2584,25,2,Waterfront,761950
3,1,1569,44,1,Waterfront,461228
1,3,849,19,2,Waterfront,276319
5,1,1778,22,2,Suburbs,325243
2,3,1563,9,2,Waterfront,518719
2,2,862,10,3,Downtown,227732
2,1,2142,40,2,Suburbs,353383
3,1,2104,40,2,Suburbs,320880
5,3,2571,4,2,Downtown,557149
1,3,1440,0,1,Waterfront,435420
4,1,1200,16,2,Rural,176444
1,3,1797,21,1,Downtown,335095
4,3,1956,33,3,Waterfront,649615
1,3,2461,44,2,Downtown,460078
5,2,2705,40,1,Suburbs,416211
4,2,2607,28,2,Suburbs,461705
3,3,2138,3,2,Suburbs,379735
1,3,2400,4,1,Rural,299193
1,2,1680,10,3,Waterfront,490427
4,2,2084,20,0,Waterfront,628903
3,1,1404,34,1,Downtown,279656
3,1,2031,11,2,Rural,250545
5,2,2044,25,2,Downtown,417674
3,3,2861,18,2,Waterfront,876968
3,3,1886,44,2,Suburbs,360060
3,3,2045,6,2,Downtown,447195
2,3,2118,46,2,Suburbs,347630
5,1,1773,6,0,Downtown,353917
1,2,1599,25,1,Downtown,290891
4,3,2649,39,1,Suburbs,439794
1,1,1510,4,1,Downtown,286322
5,3,1336,20,2,Downtown,346213
4,2,2340,13,1,Downtown,493698
5,1,2579,3,1,Suburbs,502184
3,2,1774,22,1,Downtown,344156
4,2,1782,41,3,Suburbs,321458
3,1,2141,19,3,Downtown,417159
1,1,1646,14,2,Rural,145189
1,1,1609,49,3,Waterfront,475023
4,1,2440,44,2,Downtown,495896
4,1,2304,28,2,Waterfront,689471
5,1,2656,7,0,Waterfront,811567
5,1,1374,40,2,Rural,167354
3,3,1749,47,2,Suburbs,289931
4,2,2141,18,2,Downtown,447300
1,1,1537,47,2,Suburbs,220147
5,3,2321,38,2,Suburbs,395794
5,3,2612,45,2,Suburbs,436578
1,3,1708,27,3,Suburbs,300206
5,2,2019,45,1,Waterfront,571626
3,1,2728,26,2,Rural,308467
4,3,2900,3,2,Downtown,583581
1,2,2373,14,2,Downtown,440891
4,2,2297,34,2,Downtown,461696
5,2,1573,36,0,Waterfront,500059
5,3,2180,0,2,Suburbs,403652
1,1,2278,2,1,Suburbs,342480
3,3,1895,46,2,Suburbs,336656
2,3,1703,23,2,Suburbs,276840
1,1,1359,26,2,Suburbs,207209
2,1,1131,39,1,Suburbs,188860
2,1,1026,35,2,Waterfront,325743
3,2,2290,33,1,Rural,250237
2,1,2074,28,2,Rural,177931
2,3,1758,23,3,Rural,200140
3,1,1834,23,3,Suburbs,325879
2,3,2105,41,2,Suburbs,360057
2,2,1918,3,2,Waterfront,596298
2,3,1330,2,1,Rural,159441
1,3,2457,33,1,Downtown,507834
1,1,2152,48,2,Suburbs,322360
1,1,2133,22,2,Downtown,420176
3,3,2419,22,3,Suburbs,394116
5,1,1593,44,1,Suburbs,258173
2,2,2607,4,3,Suburbs,455976
2,2,1930,30,2,Downtown,405487
3,1,2444,40,2,Suburbs,389851
2,2,2367,5,1,Waterfront,666078
1,1,1481,36,0,Downtown,259557
5,3,2251,9,2,Suburbs,418006
4,3,2163,39,2,Suburbs,377947
2,2,2015,6,1,Waterfront,595824
1,1,1953,38,2,Downtown,362849
4,1,1957,37,2,Rural,220245
5,2,2406,20,2,Suburbs,404715
4,3,2289,19,3,Rural,304104
1,2,2015,2,1,Rural,232456
4,3,1254,21,1,Downtown,285712
3,1,2247,46,2,Downtown,427957
4,3,2362,3,2,Downtown,504922
2,2,3150,27,0,Suburbs,492237
2,1,2538,11,1,Downtown,524363
3,2,1050,37,2,Downtown,247165
1,2,2039,35,1,Suburbs,303056
2,3,2906,46,1,Downtown,533908
5,2,2312,40,1,Downtown,457486
2,3,2164,4,0,Suburbs,353639
2,1,2450,12,2,Downtown,466772
1,3,1689,22,2,Suburbs,292818
4,1,2239,49,2,Suburbs,319486
2,3,1875,29,1,Suburbs,320418
3,2,1990,36,1,Waterfront,596858
4,3,2414,24,2,Suburbs,446389
5,3,1537,47,2,Suburbs,305532
1,1,2644,26,2,Suburbs,400925
5,2,1789,13,1,Waterfront,608906
4,3,2130,47,3,Waterfront,671728
4,2,1300,46,1,Waterfront,375245
4,3,2360,35,2,Suburbs,410664
5,3,2723,38,2,Downtown,552100
4,2,1743,15,2,Downtown,383887
5,3,1445,21,1,Downtown,368109
4,2,2139,20,2,Rural,268290
3,3,2727,20,2,Suburbs,439764
4,1,1275,7,1,Waterfront,452658
5,2,1447,48,1,Suburbs,268278
2,3,1773,15,1,Waterfront,519881
4,3,1590,30,2,Downtown,321244
2,1,1591,41,0,Downtown,272307
3,2,953,9,3,Suburbs,219167
1,3,2295,31,2,Suburbs,363647
3,1,2169,33,3,Suburbs,369527
4,3,1151,8,3,Waterfront,418885
2,2,2729,16,2,Downtown,554012
2,3,2841,10,1,Suburbs,423778
5,3,1625,31,1,Suburbs,288075
2,3,2583,9,1,Downtown,519559
5,3,1714,21,2,Waterfront,567093
1,1,2091,16,1,Waterfront,603733
4,1,1582,3,1,Waterfront,502488
5,2,3107,47,2,Waterfront,908903
1,1,1852,46,3,Waterfront,554567
2,1,2063,24,1,Downtown,399659
2,2,1656,20,0,Waterfront,493509
1,1,2931,36,0,Suburbs,456963
2,1,2943,37,3,Downtown,514009
1,2,2815,48,2,Downtown,533879
5,2,2478,0,1,Waterfront,776299
5,2,1688,24,1,Waterfront,543868
1,3,2414,35,1,Downtown,461855
5,3,1996,16,1,Waterfront,648788
5,2,2656,40,3,Rural,335592
5,2,2558,23,2,Downtown,537014
3,2,1675,1,2,Downtown,371530
4,3,2474,39,2,Waterfront,750852
2,3,2341,14,1,Downtown,443284
3,1,800,31,2,Suburbs,140694
5,1,2400,38,2,Downtown,492428
1,2,1784,5,1,Suburbs,329860
5,3,1557,0,2,Waterfront,595622
4,3,1578,46,1,Suburbs,263690
5,3,1932,22,1,Waterfront,634547
1,2,2240,38,1,Waterfront,615254
4,1,1317,16,2,Waterfront,453668
5,2,2095,33,2,Suburbs,378917
4,1,2288,40,3,Downtown,481259
2,1,2931,28,2,Suburbs,408613
2,2,1462,8,2,Downtown,320828
5,1,1825,12,2,Waterfront,601824
4,1,2131,5,1,Suburbs,356026
1,3,2574,5,2,Suburbs,440441
5,1,1848,19,1,Downtown,426156
2,2,2599,2,2,Waterfront,796597
2,2,1031,16,3,Waterfront,350885
5,1,1373,48,1,Suburbs,223479
4,3,2174,11,2,Waterfront,644842
2,3,1295,47,2,Downtown,269676
4,1,1413,46,2,Suburbs,261495
2,1,1736,44,1,Waterfront,486513
2,2,2386,0,1,Suburbs,414533
3,1,1052,16,0,Rural,102958
2,3,2085,2,1,Downtown,422302
1,1,2516,25,0,Downtown,450961
5,2,1903,14,2,Rural,245863
5,2,1816,35,1,Downtown,410764
4,2,2201,31,2,Rural,264346
2,2,1904,31,2,Rural,215368
1,2,2695,3,2,Downtown,507811
4,1,1444,17,2,Suburbs,295716
3,1,1974,48,2,Downtown,359128
4,1,2103,18,3,Suburbs,364366
4,1,1811,42,0,Downtown,388618
2,2,800,34,1,Downtown,178565
3,3,1920,39,2,Suburbs,329029
4,1,2450,13,0,Suburbs,406447
1,3,2389,32,0,Rural,238223
1,1,2177,13,1,Waterfront,616225
5,1,1451,33,0,Waterfront,454091
3,3,2198,3,2,Suburbs,392741
3,2,1713,23,1,Waterfront,498161
5,1,2177,28,2,Suburbs,391468
4,1,2061,18,2,Waterfront,670336
3,1,1512,5,2,Rural,188614
1,3,1554,32,2,Suburbs,271008
1,2,2178,48,2,Suburbs,344834
2,3,1889,39,1,Waterfront,540295
3,3,1580,18,2,Rural,181115
4,2,1539,0,2,Waterfront,515850
5,3,1848,4,2,Downtown,433313
5,2,2784,26,2,Suburbs,479485
4,1,1737,15,1,Downtown,392755
2,2,1993,5,2,Waterfront,632225
5,1,2051,39,2,Downtown,446724
3,3,1434,12,0,Waterfront,462773
2,3,1119,47,2,Downtown,215101
3,1,1487,34,1,Downtown,305309
1,3,2124,18,1,Suburbs,343808
2,2,2044,11,1,Waterfront,587522
5,1,2351,15,0,Downtown,504416
2,3,2048,42,2,Suburbs,359302
2,1,1945,9,1,Suburbs,297401
2,2,1698,24,3,Downtown,343283
2,2,2442,19,2,Downtown,472416
3,3,1540,30,1,Waterfront,496508
1,2,1445,3,2,Suburbs,261115
4,1,2284,43,2,Downtown,459323
2,2,1333,22,2,Waterfront,428501
5,1,3207,1,0,Rural,349174
2,1,2040,21,2,Suburbs,344127
5,2,2174,36,2,Suburbs,382075
3,3,1596,7,1,Waterfront,506382
5,2,1842,6,0,Rural,202698
4,1,1787,13,2,Waterfront,581027
1,1,1729,2,1,Suburbs,288502
5,2,2316,49,2,Suburbs,364922
5,3,1775,15,1,Waterfront,597577
1,3,2509,18,3,Downtown,502020
4,1,3332,17,2,Suburbs,541154
2,1,1852,15,1,Waterfront,553599
5,3,2076,7,1,Suburbs,378270
1,2,2190,32,2,Suburbs,354125
3,1,2906,48,2,Suburbs,473548
1,1,1959,11,2,Downtown,393858
3,3,1585,10,1,Suburbs,306160
4,2,1367,4,1,Waterfront,476611
2,3,1971,26,0,Downtown,371641
1,2,1776,11,2,Downtown,343290
5,2,3005,16,0,Rural,330659
4,2,2885,5,2,Downtown,598511
1,1,1483,32,2,Downtown,311333
5,3,1645,4,3,Rural,226416
1,3,2037,27,1,Waterfront,594051
3,2,2699,13,1,Suburbs,431246
1,1,2029,4,2,Waterfront,603793
1,1,1676,32,2,Downtown,344935
1,3,1971,49,1,Waterfront,561076
4,1,1686,47,3,Suburbs,266947
1,1,2301,40,2,Waterfront,652548
5,2,1645,18,1,Suburbs,318147
3,1,1745,21,1,Suburbs,297687
3,2,2581,4,2,Suburbs,454495
1,3,1616,1,2,Suburbs,266203
4,1,1277,29,0,Waterfront,400938
4,3,2047,46,2,Suburbs,377328
5,3,1820,38,2,Suburbs,355363
1,1,2256,3,1,Suburbs,370817
3,1,2159,32,2,Suburbs,341150
4,3,1984,12,3,Waterfront,646282
1,1,1969,19,0,Waterfront,543950
4,2,1632,6,1,Suburbs,303426
4,2,2042,14,2,Rural,253668
3,1,2441,22,2,Waterfront,714878
2,3,1513,13,3,Suburbs,288231
5,1,1997,22,2,Suburbs,361799
5,1,2519,18,2,Rural,313712
3,3,2253,28,2,Suburbs,396775
4,3,2655,19,2,Waterfront,822006
1,2,1716,28,1,Suburbs,261614
4,3,1085,23,1,Suburbs,236344
3,2,2100,17,1,Downtown,410311
5,3,2181,9,2,Suburbs,394309
4,1,2684,40,0,Rural,324027
5,2,2594,7,3,Suburbs,458670
1,2,2268,25,1,Suburbs,353783
5,2,2383,28,1,Rural,279744
5,1,1904,9,2,Suburbs,316449
2,1,1390,16,2,Suburbs,239100
2,1,2059,1,0,Waterfront,579780
2,1,2491,5,1,Waterfront,732639
5,1,2328,4,3,Downtown,533585
3,2,2417,27,1,Suburbs,352752
5,1,1786,40,1,Suburbs,302780
3,2,1867,4,2,Suburbs,343130
3,1,2242,17,0,Suburbs,319090
2,3,1727,25,2,Suburbs,324237
4,2,1742,19,1,Downtown,379383
1,3,2149,40,1,Suburbs,357013
2,2,2380,48,1,Downtown,434002
2,3,1900,26,0,Suburbs,298169
4,1,1418,48,1,Waterfront,431951
1,1,1632,11,0,Waterfront,500531
5,1,2102,6,2,Suburbs,409638
5,2,2096,2,1,Downtown,460284
2,3,2121,9,2,Downtown,442599
1,1,2261,33,2,Suburbs,366295
2,3,2003,24,2,Downtown,455154
3,3,2133,34,0,Suburbs,355534
2,1,1977,15,3,Downtown,406667
2,1,2574,1,1,Waterfront,746807
5,3,2716,23,1,Suburbs,473624
5,1,1405,9,2,Downtown,321049
5,1,1872,37,2,Waterfront,609963
3,1,2016,21,2,Suburbs,314302
5,2,1867,25,1,Downtown,397368
1,3,2896,42,2,Suburbs,469162
4,3,2112,38,1,Suburbs,368179
1,2,1597,26,3,Waterfront,477822
1,3,2298,28,1,Downtown,431839
5,1,2135,46,2,Suburbs,389030
4,3,2152,37,2,Downtown,426169
4,1,2904,19,2,Downtown,560417
4,2,2175,26,2,Waterfront,664163
3,1,1848,40,2,Waterfront,554592
5,3,1022,19,1,Suburbs,189720
4,3,1917,43,1,Suburbs,348155
3,3,2653,18,1,Downtown,511851
2,2,1954,19,2,Waterfront,597879
2,2,880,34,2,Downtown,181614
3,3,1751,46,2,Downtown,359437
3,1,2496,1,1,Suburbs,384885
5,2,2273,29,1,Suburbs,414463
5,3,1580,33,2,Suburbs,282279
2,3,1717,21,2,Downtown,336400
4,2,1795,2,2,Suburbs,381777
2,2,1669,5,3,Suburbs,312883
4,2,985,14,1,Downtown,257778
4,1,2382,26,2,Waterfront,738663
5,1,2629,9,2,Downtown,543886
1,3,1241,8,1,Suburbs,188979
1,2,2622,32,1,Suburbs,399313
3,1,1948,31,0,Downtown,354565
5,2,2613,47,2,Suburbs,426023
4,3,2019,5,2,Waterfront,636760
1,1,2068,40,2,Downtown,387689
4,1,2186,35,3,Rural,297071
1,1,1605,1,2,Suburbs,282408
1,3,2597,28,1,Downtown,488205
1,2,1439,3,2,Suburbs,249585
5,1,1799,0,2,Suburbs,279889
2,3,2262,18,2,Waterfront,677899
4,2,1745,25,2,Waterfront,539025
5,3,2389,24,2,Waterfront,771855
5,2,2688,9,1,Rural,321483
5,3,2506,14,2,Waterfront,792508
5,2,1032,21,0,Suburbs,206529
5,1,2063,47,1,Suburbs,351004
3,2,2514,20,1,Suburbs,445524
4,3,1342,21,0,Downtown,308621
5,3,2362,35,1,Waterfront,741927
4,2,2334,33,2,Suburbs,380609
3,1,1394,29,3,Downtown,282843
3,1,2417,24,1,Downtown,484258
4,2,2136,44,1,Suburbs,352451
1,2,2325,27,1,Suburbs,368266
2,3,1517,0,1,Suburbs,290087
1,1,2075,48,0,Suburbs,271997
1,2,1148,44,3,Suburbs,222075
1,1,862,3,1,Suburbs,170113
5,2,2070,6,2,Downtown,419186
3,2,2550,48,0,Downtown,525316
1,1,2126,8,2,Suburbs,352398
3,2,1968,35,2,Suburbs,324171
4,2,1906,18,3,Downtown,431503
2,3,1529,0,2,Suburbs,260758
4,2,1889,9,1,Downtown,415155
4,2,2211,35,1,Suburbs,356256
5,2,1782,8,2,Suburbs,379766
2,3,2375,44,1,Suburbs,378496
4,1,2098,45,2,Waterfront,648753
4,3,2158,41,0,Downtown,414207
2,3,2444,31,0,Rural,286635
2,1,1737,31,2,Suburbs,285742
4,3,2330,5,2,Suburbs,389717
2,1,1807,47,2,Suburbs,283739
4,3,2170,37,1,Suburbs,408586
4,1,1677,16,2,Suburbs,321747
5,2,1545,9,1,Suburbs,287618
1,3,2046,49,0,Downtown,331485
4,3,1057,26,2,Downtown,243282
3,3,1852,49,1,Suburbs,278150
1,3,1197,34,1,Suburbs,158622
1,2,2390,20,1,Suburbs,392154
1,3,2525,24,1,Downtown,480958
5,2,1568,27,0,Waterfront,542969
4,2,2214,46,0,Waterfront,626469
5,2,2450,14,1,Rural,299859
4,2,2451,3,0,Suburbs,388302
5,1,2107,28,2,Waterfront,659653
5,1,2367,8,1,Waterfront,740889
3,3,1675,26,1,Suburbs,283807
5,1,2042,25,1,Suburbs,357805
2,1,1766,18,2,Rural,227309
3,3,1633,27,2,Suburbs,309794
5,3,2018,16,2,Suburbs,360318
1,3,2174,42,2,Downtown,414671
2,1,2582,40,2,Downtown,505798
2,1,2133,41,2,Waterfront,633411
2,3,2321,49,2,Suburbs,361422
3,2,2327,19,1,Suburbs,401660
5,3,3344,44,1,Downtown,669701
5,2,1095,39,1,Suburbs,191428
1,2,1656,38,3,Suburbs,289408
1,3,2737,48,2,Downtown,516096
2,3,1824,22,2,Waterfront,529650
1,3,2443,46,1,Downtown,445845
3,1,2115,31,2,Suburbs,353548
5,2,3053,46,1,Suburbs,490774
2,1,1443,32,1,Downtown,304790
1,1,2611,45,2,Waterfront,745532
3,3,2875,4,2,Waterfront,874744
3,1,1493,42,1,Waterfront,432809
1,3,2391,47,2,Downtown,448834
5,2,1517,33,1,Downtown,330904
1,3,2015,39,3,Downtown,386265
2,1,1872,10,1,Suburbs,234580
1,1,800,49,1,Waterfront,248396
3,3,2212,2,1,Waterfront,690880
1,3,2072,32,1,Waterfront,586385
5,1,2740,10,1,Rural,334755
4,2,2306,15,2,Waterfront,726203
1,2,3145,17,2,Suburbs,490710
5,3,2054,29,2,Downtown,429321
5,2,1947,47,1,Suburbs,299813
3,1,1908,9,2,Downtown,372120
5,3,1780,17,1,Downtown,375504
5,1,896,37,0,Suburbs,183937
5,1,1890,18,2,Waterfront,636366
5,2,966,35,2,Downtown,226457
2,3,2226,12,0,Waterfront,599951
2,3,1380,45,0,Waterfront,395274
3,2,1553,2,3,Suburbs,287494
1,1,1665,9,0,Downtown,303428
5,1,1898,37,2,Downtown,423675
1,1,2003,0,2,Waterfront,599500
1,1,2542,26,1,Waterfront,684877
3,3,1711,45,1,Waterfront,492805
5,3,2240,7,1,Suburbs,400259
5,2,3365,45,2,Downtown,651850
4,2,2189,41,2,Downtown,447114
1,3,1910,16,2,Waterfront,595557
1,3,1610,8,3,Downtown,316281
2,1,1903,5,2,Suburbs,325681
4,1,1557,42,2,Suburbs,291834
2,2,2134,24,2,Downtown,423256
2,3,2052,38,2,Downtown,422151
2,2,919,48,2,Suburbs,154088
3,3,1991,27,2,Downtown,418746
3,1,2538,32,2,Downtown,507669
2,2,1800,36,0,Waterfront,496280
4,2,1674,8,2,Waterfront,603272
1,3,1311,17,1,Downtown,276959
4,1,1071,20,1,Waterfront,392631
5,2,2416,1,0,Suburbs,443272
3,1,1909,42,2,Suburbs,322935
1,2,2386,37,2,Waterfront,703439
1,1,2766,39,1,Waterfront,756787
5,3,2461,35,2,Waterfront,764073
5,2,1729,49,2,Downtown,373283
2,2,2072,42,1,Downtown,373315
