age,income,spending_score,annual_purchases,avg_order_value,days_since_last_purchase,preferred_category
57,40745,46,4,138.33,73,Home
51,71467,36,3,56.77,92,Home
38,61285,66,6,91.24,43,Clothing
59,69321,49,4,76.91,10,Home
18,90068,89,8,199.72,7,Electronics
22,100468,76,7,111.06,9,Electronics
40,145456,54,5,178.27,48,Clothing
36,50676,78,7,170.07,46,Clothing
37,110173,83,8,21.41,36,Clothing
37,116951,56,5,189.01,18,Clothing
34,45129,56,5,153.64,20,Clothing
35,66930,63,6,149.17,14,Clothing
61,113130,36,3,110.97,33,Home
75,149034,23,2,36.61,109,Home
71,66265,22,2,20.64,34,Home
58,64335,30,3,153.42,71,Home
63,86057,55,5,21.74,10,Home
74,120573,29,2,118.21,95,Home
55,102420,29,2,97.36,11,Home
37,77795,52,5,181.81,27,Clothing
61,62706,26,2,83.66,144,Home
74,144650,46,4,195.29,20,Home
33,143325,60,6,195.72,52,Clothing
29,145528,83,8,24.46,22,Electronics
68,83964,35,3,68.03,101,Home
62,44168,44,4,176.99,61,Home
32,56158,79,7,82.94,51,Electronics
73,59831,34,3,24.26,25,Home
43,73025,67,6,175.58,50,Clothing
35,76025,82,8,91.94,35,Clothing
39,33617,57,5,177.87,34,Clothing
29,106099,100,10,197.04,3,Electronics
24,108193,83,8,82.22,21,Electronics
45,109457,82,8,40.82,37,Clothing
30,63386,52,5,147.58,1,Clothing
51,135710,54,5,143.63,26,Home
41,86531,54,5,190.8,43,Clothing
57,71145,27,2,149.56,77,Home
50,70538,46,4,78.71,90,Home
36,102667,58,5,54.53,49,Clothing
61,128059,31,3,130.79,39,Home
43,101819,50,5,74.7,27,Home
45,132990,70,7,103.7,29,Clothing
61,58010,52,5,105.17,22,Home
60,41114,38,3,112.78,82,Home
57,73933,25,2,167.32,61,Home
61,70687,34,3,165.18,19,Home
19,36057,77,7,197.11,40,Electronics
72,130727,24,2,101.97,162,Home
54,55485,44,4,108.99,32,Home
27,115990,92,9,21.0,7,Electronics
67,85724,34,3,51.66,90,Home
51,90889,23,2,120.33,32,Home
47,47477,79,7,140.16,36,Clothing
56,71588,48,4,130.28,65,Home
45,138864,85,8,100.26,11,Clothing
65,142917,50,5,101.01,32,Home
71,113579,37,3,157.85,67,Home
49,112149,65,6,69.43,5,Clothing
63,67450,35,3,68.91,41,Home
75,100798,25,2,44.91,60,Home
42,120957,59,5,147.16,9,Clothing
44,83424,71,7,117.67,27,Clothing
21,57110,96,9,95.63,38,Electronics
62,32560,56,5,88.47,1,Home
40,69139,74,7,173.62,27,Clothing
52,127978,54,5,163.98,29,Home
49,58760,67,6,98.45,2,Clothing
42,74057,75,7,150.35,30,Clothing
26,111560,87,8,24.85,26,Electronics
55,103975,21,2,35.11,110,Home
26,143619,84,8,52.71,17,Electronics
42,72906,63,6,101.85,22,Clothing
66,145296,44,4,70.09,54,Home
34,139433,55,5,104.66,70,Clothing
21,75870,77,7,137.03,50,Electronics
59,35276,21,2,190.93,52,Home
71,32671,59,5,47.43,17,Home
48,117747,57,5,121.51,28,Clothing
47,121680,66,6,158.04,11,Clothing
56,109593,27,2,160.0,42,Home
37,44168,51,5,187.2,49,Clothing
43,123718,62,6,33.68,45,Clothing
71,112213,35,3,38.34,99,Home
37,141449,57,5,163.32,73,Clothing
68,35383,42,4,115.89,85,Home
41,39038,82,8,136.56,1,Clothing
72,85057,51,5,39.0,47,Home
58,146860,49,4,147.32,56,Home
29,126180,86,8,193.79,18,Electronics
57,135932,54,5,159.44,60,Home
45,138230,67,6,78.01,16,Clothing
71,41359,37,3,178.69,32,Home
66,90910,56,5,129.86,49,Home
39,33761,81,8,173.17,12,Clothing
49,57802,72,7,163.61,22,Clothing
35,145385,67,6,120.04,34,Clothing
30,41221,65,6,149.61,32,Clothing
53,129374,35,3,144.31,83,Home
63,94332,48,4,162.73,12,Home
36,59045,75,7,144.52,20,Clothing
60,106225,43,4,105.19,68,Home
40,85771,85,8,79.54,45,Clothing
47,65509,69,6,65.25,8,Clothing
64,55242,40,4,41.52,69,Home
66,120461,31,3,54.48,95,Home
48,66241,83,8,127.42,7,Clothing
71,55443,38,3,60.95,23,Home
37,31854,84,8,42.78,3,Clothing
21,102529,79,7,145.54,9,Electronics
58,143830,51,5,38.47,2,Home
54,67268,50,5,106.17,44,Home
29,36734,78,7,189.39,31,Electronics
25,137756,72,7,92.13,5,Electronics
54,112502,23,2,47.31,145,Home
37,41164,65,6,41.32,49,Clothing
44,109471,64,6,159.62,25,Clothing
46,149079,78,7,73.52,38,Clothing
45,70026,53,5,129.73,13,Clothing
66,57235,60,6,57.98,43,Home
23,50585,77,7,51.29,5,Electronics
28,30350,83,8,101.09,39,Electronics
48,68175,52,5,61.67,37,Clothing
62,142670,49,4,32.81,30,Home
34,133262,62,6,96.53,35,Clothing
32,114886,59,5,183.51,19,Clothing
22,37816,75,7,162.67,39,Electronics
65,138034,56,5,185.81,57,Home
25,91433,92,9,74.74,26,Electronics
35,95597,84,8,108.88,6,Clothing
56,35224,47,4,152.22,78,Home
34,33390,55,5,61.21,3,Clothing
66,118117,37,3,123.72,98,Home
66,52962,50,5,113.41,57,Home
35,53788,77,7,134.26,32,Clothing
23,91605,81,8,93.5,21,Electronics
60,43710,30,3,79.36,89,Home
49,67777,75,7,166.44,36,Clothing
20,89614,72,7,76.61,21,Electronics
25,131259,82,8,175.68,1,Electronics
60,143949,54,5,103.16,7,Home
30,97952,73,7,132.07,32,Electronics
58,87939,23,2,56.64,141,Home
26,67752,84,8,178.55,32,Electronics
25,33783,90,9,129.6,16,Electronics
63,50758,39,3,119.15,71,Home
44,42217,64,6,198.61,59,Clothing
25,90482,100,10,41.14,10,Electronics
49,123926,68,6,111.6,18,Clothing
44,139408,80,8,196.44,16,Clothing
47,102255,59,5,89.05,66,Clothing
65,145255,28,2,175.52,71,Home
67,133547,46,4,81.18,65,Home
35,137551,50,5,70.91,39,Home
71,106931,57,5,199.8,63,Home
73,49476,48,4,116.94,45,Home
39,102340,84,8,87.9,21,Clothing
73,54727,35,3,122.92,30,Home
72,131652,46,4,27.86,61,Home
63,149725,44,4,89.49,85,Home
68,137577,29,2,109.16,10,Home
26,95836,100,10,126.23,7,Electronics
73,140761,48,4,37.95,59,Home
18,124692,74,7,93.8,42,Electronics
27,39807,85,8,160.67,17,Electronics
39,111691,75,7,136.97,22,Clothing
72,118389,54,5,88.4,41,Home
58,124203,51,5,177.03,5,Home
57,38968,35,3,133.61,118,Home
36,59817,55,5,98.11,13,Clothing
66,113066,26,2,99.86,178,Home
37,148413,51,5,28.28,8,Clothing
36,76984,73,7,97.52,16,Clothing
51,84008,56,5,142.72,24,Home
28,52946,72,7,129.71,25,Electronics
57,119539,35,3,109.58,75,Home
27,60433,84,8,134.82,30,Electronics
34,117404,50,5,181.8,60,Home
75,67700,54,5,48.44,57,Home
40,107014,69,6,135.01,28,Clothing
62,62780,49,4,172.15,26,Home
42,141848,80,8,39.2,25,Clothing
54,77049,56,5,73.26,38,Home
19,138794,91,9,91.25,1,Electronics
54,143386,23,2,183.91,128,Home
71,148509,38,3,159.63,30,Home
56,135110,42,4,59.42,25,Home
57,62850,28,2,133.08,161,Home
59,35167,39,3,161.95,5,Home
55,77823,28,2,36.22,76,Home
38,127973,76,7,51.62,9,Clothing
68,100701,43,4,115.55,35,Home
71,51567,36,3,184.53,121,Home
48,135708,68,6,154.38,22,Clothing
69,45095,49,4,193.32,19,Home
66,59571,45,4,194.11,72,Home
41,41836,75,7,22.51,35,Clothing
25,89609,81,8,141.11,44,Electronics
34,106619,74,7,168.04,24,Electronics
24,118452,77,7,104.87,40,Electronics
74,103584,40,4,184.75,29,Home
59,38285,60,6,168.29,59,Home
62,69608,46,4,41.0,6,Home
20,69893,85,8,40.9,16,Electronics
74,100457,28,2,89.96,95,Home
60,127404,54,5,95.44,20,Home
74,84379,26,2,170.06,158,Home
44,66666,52,5,144.25,28,Clothing
46,88287,65,6,173.98,7,Clothing
61,78147,54,5,182.31,46,Home
21,82184,78,7,54.17,8,Electronics
72,138028,49,4,36.5,28,Home
59,113819,58,5,194.8,7,Home
68,73713,35,3,197.99,101,Home
54,56896,24,2,169.37,142,Home
31,106858,63,6,166.35,15,Clothing
39,131498,59,5,161.96,1,Clothing
35,142513,59,5,197.75,70,Clothing
34,134662,61,6,39.79,56,Clothing
19,47275,70,7,84.48,51,Clothing
33,107182,70,7,22.84,17,Clothing
21,46614,93,9,95.77,8,Electronics
65,38330,50,5,100.69,47,Home
50,107812,26,2,101.36,57,Home
57,35683,53,5,74.29,4,Home
21,92781,97,9,92.29,7,Electronics
49,123375,78,7,33.23,6,Clothing
38,109730,59,5,31.82,36,Clothing
57,112978,57,5,118.7,42,Home
42,108301,83,8,73.08,33,Clothing
56,86387,26,2,162.76,30,Home
72,115814,55,5,149.75,28,Home
