study_hours_per_week,previous_grade,attendance_rate,parent_education,school_type,extracurricular_activities,final_grade
4.8,87.1,81.4,Bachelor,Public,1,65.7
11.8,67.1,,Bachelor,Public,0,
4.4,81.4,68.4,Bachelor,Public,0,69.0
7.9,91.8,90.3,High School,Public,3,71.7
9.1,80.0,78.0,High School,Private,2,59.5
4.1,53.4,77.0,Bachelor,Public,2,52.9
3.2,93.6,48.2,High School,Public,1,64.8
3.6,75.0,60.5,Bachelor,Public,1,53.6
5.8,100.0,75.9,Bachelor,Private,0,54.5
4.6,100.0,88.1,High School,Public,1,61.5
2.8,80.7,68.3,High School,Public,3,61.0
5.0,64.1,82.3,Bachelor,Public,3,64.4
9.1,74.9,75.7,High School,Private,2,62.0
3.5,91.0,56.2,High School,Public,1,67.6
7.0,69.7,64.4,Bachelor,Public,1,46.2
3.6,72.4,57.5,Bachelor,Private,0,39.3
2.5,50.4,79.1,Bachelor,Public,1,36.6
,94.5,73.6,Bachelor,Public,3,
5.1,70.3,82.2,Bachelor,Public,0,53.6
11.4,73.0,61.2,High School,Private,1,80.7
1.9,75.5,90.5,High School,Public,3,39.5
8.2,79.6,61.6,High School,Public,2,66.0
4.3,84.7,51.6,Bachelor,Private,2,62.4
7.1,71.7,76.9,Bachelor,Public,1,48.6
12.9,74.9,72.3,Bachelor,Private,1,63.4
3.9,74.2,53.7,High School,Public,0,35.6
3.9,83.4,,High School,Public,0,
6.3,69.7,84.4,High School,Public,2,42.2
13.8,89.8,62.6,Bachelor,Public,1,81.5
8.0,68.2,84.1,High School,Private,2,57.1
5.0,83.3,64.8,Bachelor,Private,2,64.5
3.5,68.0,95.6,Master,Public,1,57.7
1.7,72.4,92.3,Bachelor,Public,1,33.4
7.0,77.4,68.7,Master,Public,1,65.2
7.5,76.9,62.5,High School,Private,0,76.2
3.1,82.1,59.3,Master,Public,0,51.8
6.3,66.1,78.1,Master,Private,0,61.6
2.9,92.0,92.3,High School,Private,1,54.2
14.4,72.5,78.5,Master,Public,0,82.5
2.3,71.0,76.1,PhD,Private,1,64.3
5.5,92.7,87.8,Bachelor,Public,3,75.1
4.6,61.4,76.9,Bachelor,Private,1,51.2
20.0,78.8,97.1,High School,Public,0,78.1
10.0,90.0,93.7,Bachelor,Public,2,57.8
6.9,99.3,62.6,High School,Public,1,75.6
9.1,79.7,67.9,High School,Private,1,52.8
12.7,87.1,68.7,Master,Private,3,80.2
5.9,59.0,90.6,Master,Public,0,39.6
6.0,65.8,84.1,High School,Public,1,64.7
2.9,59.0,52.5,Bachelor,Public,0,22.4
4.6,66.9,75.4,High School,Public,0,37.6
3.0,98.5,64.5,Bachelor,Private,1,77.1
7.4,85.1,74.9,High School,Public,0,53.0
3.7,85.4,82.4,Master,Public,3,68.7
1.8,52.2,61.1,Master,Private,3,29.8
2.4,92.0,91.3,High School,Private,0,53.9
4.5,67.4,,High School,Private,1,
4.8,60.9,63.5,High School,Private,1,34.5
4.6,53.4,71.1,High School,Public,1,39.0
5.1,100.0,77.1,Bachelor,Private,0,80.1
,85.0,80.0,High School,Public,1,
11.7,67.3,88.4,Bachelor,Public,0,51.9
4.1,84.3,71.4,Bachelor,Public,1,60.2
2.5,80.1,82.7,High School,Public,0,28.1
6.4,78.7,75.1,PhD,Public,1,68.3
1.3,77.4,37.3,High School,Public,3,40.3
11.6,68.1,90.1,Bachelor,Public,0,65.2
11.3,53.3,55.8,Bachelor,Public,2,67.0
6.2,72.6,86.9,High School,Public,0,53.3
3.6,60.2,78.3,High School,Private,0,26.5
2.3,64.1,67.8,High School,Public,0,41.7
1.9,71.8,88.6,PhD,Public,0,58.0
8.5,93.9,72.8,Bachelor,Public,0,67.7
0.8,66.8,92.2,High School,Public,0,47.3
4.6,68.4,65.5,Bachelor,Public,1,50.8
5.2,71.8,88.8,High School,Public,2,65.3
3.9,69.1,65.8,Bachelor,Public,1,35.4
3.5,64.5,51.7,PhD,Public,2,43.2
1.8,72.1,84.2,High School,Public,1,44.3
1.8,60.9,92.8,High School,Public,1,32.9
8.3,83.7,90.3,Master,Public,1,65.1
6.7,77.9,69.7,High School,Public,3,74.1
2.7,76.7,80.5,High School,Public,3,57.4
,60.4,88.3,High School,Public,1,
2.8,69.4,57.6,High School,Public,0,25.4
4.7,58.7,82.4,Master,Public,0,62.1
5.6,80.9,97.0,High School,Private,0,66.4
15.1,52.5,68.4,PhD,Private,1,72.7
5.8,67.7,95.9,PhD,Public,1,66.8
14.3,92.3,,PhD,Private,1,
5.5,65.1,76.5,Master,Public,0,41.3
4.7,61.4,80.7,High School,Private,1,55.9
4.3,67.5,81.5,High School,Private,1,46.8
6.6,68.5,66.8,High School,Private,2,56.9
7.7,44.1,68.3,High School,Public,1,51.3
14.6,81.8,78.7,High School,Public,1,73.7
7.1,71.5,72.4,High School,Private,1,61.1
2.6,81.4,91.8,High School,Public,1,41.0
8.7,87.6,93.7,Bachelor,Public,1,63.3
2.8,75.8,89.1,Bachelor,Public,2,51.2
2.6,58.3,90.3,High School,Public,0,46.6
7.6,78.8,88.0,High School,Public,1,49.0
3.9,88.1,81.2,Bachelor,Public,0,56.0
5.0,88.6,87.9,Bachelor,Public,1,58.5
2.5,70.4,60.7,High School,Private,1,40.4
4.0,53.4,83.5,High School,Public,1,44.9
4.5,50.1,83.3,Master,Public,1,44.8
5.4,88.1,55.2,Master,Public,1,78.0
9.9,62.6,85.5,Bachelor,Public,1,54.9
9.8,50.4,86.5,Bachelor,Public,2,57.2
3.5,79.5,74.3,Master,Public,1,48.4
8.7,87.9,75.6,Master,Public,1,68.9
2.1,87.6,91.3,Master,Private,1,61.0
5.3,83.6,81.4,High School,Public,1,59.4
6.3,88.7,86.0,Master,Private,1,65.8
5.8,70.4,82.6,Master,Private,0,53.3
6.1,83.2,78.9,Master,Private,3,64.5
2.7,79.1,83.8,High School,Public,1,54.4
3.0,100.0,86.5,PhD,Private,1,72.0
4.4,69.5,69.4,High School,Private,2,43.8
1.5,88.6,70.5,Bachelor,Private,2,37.2
6.2,85.6,53.7,High School,Private,0,50.2
7.5,93.1,73.2,Bachelor,Private,1,69.5
12.0,94.3,77.2,High School,Public,0,68.1
12.6,52.4,85.3,Master,Public,1,67.1
10.9,78.1,78.7,Bachelor,Public,3,81.8
2.3,66.3,86.0,Master,Private,0,50.1
,52.5,73.4,Master,Public,1,
9.3,68.1,86.3,Master,Public,0,65.1
3.4,88.2,82.8,High School,Public,0,65.1
5.0,89.8,82.2,Bachelor,Private,1,66.9
6.6,98.4,93.8,High School,Private,1,87.3
13.7,80.8,69.1,Bachelor,Public,0,68.9
3.2,100.0,95.3,Master,Public,2,76.9
6.1,77.1,88.7,Master,Public,1,56.0
7.4,74.3,70.3,Bachelor,Public,1,60.3
9.9,80.6,67.4,High School,Public,1,65.2
12.0,68.7,,Master,Public,3,
14.3,68.7,91.2,High School,Private,2,73.4
6.7,99.5,85.0,High School,Public,1,69.1
4.9,100.0,66.1,Bachelor,Private,3,66.4
1.6,84.3,64.2,High School,Public,0,37.1
6.3,89.1,61.4,High School,Public,2,65.0
5.2,80.5,72.1,Bachelor,Public,0,52.9
5.6,84.2,76.7,Master,Public,2,65.9
5.5,73.8,71.0,High School,Public,3,68.9
11.2,63.3,79.5,PhD,Private,1,81.8
10.4,58.6,92.7,High School,Private,1,63.6
5.9,94.2,94.8,Bachelor,Public,1,58.3
11.7,63.6,95.1,Master,Private,0,84.8
3.1,81.3,85.7,Bachelor,Private,1,37.6
3.4,67.9,81.9,Bachelor,Public,1,26.7
,49.3,89.3,High School,Public,0,
2.4,76.7,89.1,Bachelor,Public,1,38.2
1.8,59.8,87.9,High School,Public,2,38.8
4.1,78.1,97.5,Master,Private,1,76.5
3.6,100.0,91.9,Bachelor,Public,1,60.5
10.8,57.2,56.1,Bachelor,Private,1,63.3
8.5,88.7,82.5,Bachelor,Private,3,81.3
6.3,84.0,69.3,High School,Public,3,56.8
,82.3,87.8,Bachelor,Public,1,
1.2,83.7,83.7,High School,Public,2,39.1
1.9,77.5,59.7,Master,Private,1,61.0
8.4,52.2,59.0,High School,Public,3,52.8
3.1,95.9,91.1,Master,Public,0,61.8
6.0,100.0,64.9,Master,Public,2,62.6
3.6,69.9,95.6,High School,Public,1,55.0
3.9,75.8,84.7,High School,Private,2,44.6
3.2,89.1,92.5,High School,Private,1,38.8
10.0,67.1,80.2,High School,Public,0,55.6
6.5,67.2,50.5,High School,Public,2,63.7
6.2,66.7,88.1,High School,Public,1,37.8
2.7,89.5,94.3,Master,Private,1,83.7
,70.4,76.9,High School,Private,0,
2.1,65.7,95.5,Master,Public,1,48.0
,73.1,92.8,High School,Public,3,
6.1,62.8,86.6,Master,Public,0,43.4
5.6,66.2,71.9,High School,Public,0,36.2
6.0,96.5,74.1,Master,Public,3,69.1
4.9,87.4,62.7,Bachelor,Public,0,65.5
0.8,86.8,86.5,High School,Public,1,53.4
1.8,60.4,96.3,Bachelor,Public,1,42.2
6.6,96.3,89.8,High School,Public,0,64.8
10.0,80.5,90.0,Bachelor,Public,0,70.7
1.5,73.8,88.1,Bachelor,Public,0,45.2
6.0,88.0,81.6,Bachelor,Private,0,68.9
,74.5,85.2,High School,Public,2,
9.9,95.4,92.5,High School,Public,2,67.7
9.7,64.4,57.8,High School,Public,2,46.2
4.8,90.6,78.3,Bachelor,Public,1,41.7
8.7,100.0,74.4,Bachelor,Public,0,56.4
11.6,78.3,57.6,High School,Public,0,45.4
,81.3,71.0,Bachelor,Private,1,
10.0,94.6,68.6,Bachelor,Public,0,52.1
2.5,77.2,91.4,Bachelor,Private,1,53.6
4.7,88.0,,Bachelor,Public,0,
3.2,77.7,62.8,Master,Public,2,66.8
2.3,69.2,80.4,High School,Public,1,38.6
4.4,44.4,93.8,Bachelor,Public,1,43.8
2.8,69.9,88.0,Bachelor,Public,1,42.2
3.2,85.8,89.5,Master,Private,0,64.9
2.3,94.1,89.0,PhD,Public,2,64.2
4.3,89.9,79.6,High School,Private,2,45.0
4.0,98.3,90.2,Bachelor,Public,0,57.9
7.2,70.9,58.9,Bachelor,Public,0,52.7
5.2,64.2,93.3,Master,Public,3,51.2
2.7,60.6,84.2,Bachelor,Public,1,48.2
20.0,93.0,98.7,Master,Public,1,100.0
5.4,59.5,63.2,Bachelor,Private,0,66.9
3.6,81.8,92.2,Bachelor,Public,0,64.2
3.9,86.6,78.5,Master,Public,1,64.9
7.7,83.5,48.3,PhD,Public,2,69.0
2.7,63.5,50.2,Bachelor,Public,1,50.7
4.0,100.0,86.4,Bachelor,Public,0,62.2
6.2,78.2,65.3,Bachelor,Public,1,57.8
8.1,63.6,72.1,Bachelor,Public,2,47.8
3.2,72.1,91.9,High School,Public,1,37.5
6.5,50.8,58.4,High School,Public,2,38.0
6.2,40.0,77.0,Master,Public,0,43.4
2.9,69.5,90.5,High School,Public,2,40.3
3.6,55.8,84.6,High School,Public,1,31.6
5.2,71.0,77.4,High School,Public,1,63.1
2.7,62.6,69.2,Bachelor,Private,0,40.9
7.9,64.9,93.4,Bachelor,Private,1,54.1
4.3,72.1,45.9,High School,Public,1,40.7
8.1,68.1,56.7,High School,Public,2,50.1
3.8,90.5,90.8,PhD,Private,0,56.3
3.9,71.0,96.3,Bachelor,Public,0,53.0
8.1,49.5,89.1,High School,Public,1,46.4
2.4,65.1,95.0,Master,Public,1,51.9
10.2,84.0,95.8,Bachelor,Private,1,70.6
10.2,53.8,68.7,Bachelor,Private,2,57.2
2.8,82.5,80.6,High School,Public,2,48.8
3.6,73.9,95.4,Master,Private,2,54.2
8.2,60.3,58.6,Master,Private,2,49.4
6.5,72.6,86.7,High School,Public,3,61.6
1.9,96.3,69.6,High School,Public,0,46.3
9.5,62.4,98.1,Bachelor,Public,1,64.2
6.1,98.6,67.4,Bachelor,Private,1,76.6
7.5,67.2,90.5,High School,Public,2,47.7
3.4,76.2,92.4,Master,Private,3,59.6
10.1,81.8,89.3,High School,Public,1,61.0
6.8,73.0,81.3,Master,Private,0,59.3
,71.1,86.9,Master,Public,0,
,84.8,81.2,High School,Private,2,
8.1,96.0,86.9,Master,Public,1,60.3
2.8,79.7,61.9,Master,Private,2,38.5
3.6,86.6,90.9,Bachelor,Public,1,67.0
4.8,54.7,98.3,High School,Public,1,46.6
2.5,79.8,70.5,Bachelor,Public,2,62.6
2.1,53.8,98.6,High School,Public,3,38.5
4.5,81.4,82.0,Master,Private,1,61.9
4.0,65.8,51.2,Bachelor,Private,2,45.4
,62.5,72.9,Bachelor,Public,0,
6.4,86.1,83.4,Master,Public,3,80.7
3.8,69.6,57.6,High School,Private,3,71.5
4.2,95.4,82.0,Bachelor,Private,2,72.3
7.3,77.8,85.3,Master,Public,2,70.6
3.6,77.0,65.3,Bachelor,Private,0,57.7
5.2,81.2,86.3,Bachelor,Public,2,42.5
,53.1,80.8,Bachelor,Public,1,
2.7,71.9,59.2,Master,Public,0,45.8
11.2,85.2,52.2,Bachelor,Public,0,64.2
2.0,74.1,61.0,Master,Private,3,55.0
4.1,74.0,87.1,High School,Public,1,48.4
7.1,87.3,66.6,High School,Public,2,79.1
7.2,64.7,85.5,Master,Public,2,47.3
6.0,66.2,89.8,Bachelor,Public,2,36.3
16.7,85.8,93.1,High School,Private,1,88.5
3.4,62.5,75.7,Master,Public,0,53.3
2.1,63.5,55.0,Master,Public,0,36.9
6.8,45.0,71.9,High School,Public,0,45.9
8.2,100.0,91.9,High School,Public,1,66.6
1.6,62.4,57.9,High School,Public,1,30.0
4.7,73.6,59.5,Master,Public,0,61.5
19.1,100.0,75.2,Master,Public,1,90.5
4.4,81.5,90.8,Master,Private,0,64.9
3.1,59.9,,Master,Private,1,
8.4,93.5,93.4,Master,Private,1,80.1
4.3,78.7,80.8,High School,Public,1,43.7
6.5,90.6,47.1,High School,Private,3,65.0
5.3,92.7,93.3,Bachelor,Public,2,67.7
8.4,74.5,78.9,Master,Public,0,72.5
6.1,100.0,74.7,Master,Public,0,77.8
4.1,81.4,91.0,Bachelor,Private,3,69.1
5.0,100.0,81.1,Master,Public,1,71.8
12.4,50.0,49.0,Bachelor,Public,2,59.1
,79.3,91.5,Master,Public,1,
2.1,85.4,96.7,Bachelor,Public,2,48.0
5.1,95.5,87.6,Bachelor,Public,1,73.6
2.8,61.0,84.7,Bachelor,Public,0,34.5
5.4,79.0,94.1,Master,Private,0,61.3
10.7,61.8,85.8,Bachelor,Public,2,54.0
6.1,100.0,56.9,High School,Public,2,70.2
1.8,65.0,56.7,High School,Private,1,41.3
6.4,92.0,86.8,PhD,Public,2,60.5
3.9,74.2,59.0,PhD,Private,3,61.9
4.5,49.3,76.2,Bachelor,Public,0,39.5
4.6,89.3,84.3,Master,Public,2,69.7
5.7,54.8,61.4,PhD,Public,1,33.2
11.9,71.6,56.9,Bachelor,Public,0,66.6
4.6,40.0,59.1,Master,Public,1,37.9
9.2,89.9,68.2,High School,Private,0,63.6
13.8,79.1,61.1,Master,Public,0,78.9
5.2,62.7,56.8,Bachelor,Private,0,36.6
1.9,86.4,72.0,Bachelor,Private,1,42.4
2.5,99.3,85.4,PhD,Public,1,62.9
8.2,52.7,68.0,Master,Private,2,55.4
3.6,72.5,86.2,Bachelor,Public,1,54.2
3.7,88.0,52.0,High School,Public,3,62.4
5.7,67.1,88.5,High School,Public,0,30.5
6.1,79.3,46.4,Bachelor,Private,1,63.7
13.5,72.7,88.0,Bachelor,Public,1,69.9
6.1,89.8,88.8,High School,Private,0,71.7
20.0,100.0,53.1,Master,Public,2,97.9
7.8,66.6,80.5,Bachelor,Private,1,49.3
3.9,87.6,93.3,High School,Public,2,62.4
5.2,73.0,72.4,Bachelor,Private,1,51.4
,99.9,86.5,Bachelor,Public,1,
4.8,90.4,71.3,High School,Public,0,58.1
4.2,85.3,58.8,High School,Private,2,40.1
8.6,80.5,81.4,High School,Public,1,56.5
11.5,69.0,81.8,High School,Public,1,58.6
10.4,65.3,94.4,Bachelor,Private,1,66.0
4.3,68.6,,Bachelor,Public,2,
9.0,47.1,,High School,Private,1,
2.5,84.0,88.0,High School,Public,3,58.6
7.0,76.9,94.6,Master,Private,1,68.7
4.0,81.6,47.9,High School,Public,2,37.0
7.0,57.5,78.2,Bachelor,Public,0,51.2
2.7,75.7,88.6,Bachelor,Public,1,59.3
6.7,55.2,78.0,High School,Public,1,48.4
2.1,78.4,93.6,Master,Public,3,68.4
6.8,72.6,86.0,Bachelor,Public,1,61.5
2.5,56.7,52.1,Bachelor,Private,1,45.5
3.7,76.2,72.5,Master,Public,1,56.0
6.6,87.1,65.3,High School,Private,1,47.9
7.9,70.0,,High School,Private,3,
2.6,77.6,87.4,Master,Public,1,57.5
7.6,56.4,54.2,Bachelor,Public,1,48.3
7.3,70.2,70.7,High School,Public,1,39.7
3.1,72.6,64.9,High School,Private,0,47.4
11.9,60.3,67.3,High School,Public,0,45.6
6.2,69.9,58.1,Bachelor,Private,2,73.6
2.0,76.0,51.1,High School,Public,1,41.8
,68.5,74.0,Bachelor,Public,2,
7.3,60.3,87.8,High School,Private,1,47.6
9.6,100.0,81.8,Bachelor,Public,1,62.2
3.3,91.5,42.0,Bachelor,Public,0,55.9
9.3,65.6,73.1,Bachelor,Public,3,52.8
,53.8,66.8,High School,Public,1,
5.2,58.5,72.9,Bachelor,Public,3,48.2
6.5,79.2,74.7,Bachelor,Public,1,63.2
3.1,76.3,90.3,Bachelor,Private,2,50.6
13.8,70.8,53.0,PhD,Public,0,90.9
8.1,61.8,72.3,High School,Public,0,55.6
3.8,76.3,71.0,Bachelor,Public,3,58.4
11.9,77.2,58.1,Bachelor,Private,1,72.5
7.8,70.3,,Master,Public,1,
5.4,85.2,72.7,High School,Private,0,66.2
3.2,88.7,65.4,High School,Public,1,49.6
4.6,96.5,91.0,High School,Private,0,56.4
8.0,83.7,84.3,Bachelor,Public,0,63.4
6.6,66.9,87.9,Bachelor,Public,1,50.6
2.0,64.9,67.8,High School,Private,1,49.7
5.2,70.7,75.0,High School,Public,0,56.7
1.7,67.5,98.1,PhD,Public,2,41.9
5.6,42.4,57.7,Bachelor,Private,1,39.0
4.8,46.6,82.8,Bachelor,Public,1,52.4
2.9,73.7,77.5,Bachelor,Private,0,65.9
9.1,47.8,77.0,Bachelor,Public,2,66.3
7.0,67.2,71.9,High School,Public,0,47.3
5.7,55.4,73.9,High School,Public,1,45.0
7.5,75.8,81.1,High School,Private,3,69.2
0.9,50.7,74.2,High School,Public,1,34.2
2.4,57.7,,High School,Private,1,
3.7,64.1,71.4,High School,Public,1,45.6
11.0,100.0,95.3,Master,Private,0,83.1
2.9,75.1,79.1,High School,Public,0,41.6
6.2,86.3,69.3,Bachelor,Private,0,56.4
2.7,78.1,85.0,Master,Public,0,57.6
4.6,84.3,86.9,Bachelor,Public,1,54.4
8.5,71.9,44.3,High School,Public,2,54.0
6.7,53.9,72.5,PhD,Public,1,53.8
6.3,70.9,73.9,Bachelor,Public,1,65.5
6.1,90.1,90.1,High School,Public,2,57.1
4.5,92.8,84.0,PhD,Public,1,54.8
6.7,55.0,67.7,High School,Private,1,56.0
7.1,83.2,,PhD,Private,1,
5.0,76.9,84.2,Master,Public,1,79.9
4.5,69.6,90.7,High School,Public,1,37.5
8.3,49.4,77.0,Master,Public,2,53.4
8.0,74.4,82.9,High School,Public,1,60.0
4.8,80.0,78.7,Bachelor,Private,1,59.5
9.2,67.9,95.4,Bachelor,Public,2,51.2
5.3,60.8,92.8,Bachelor,Public,0,49.8
5.7,88.8,65.7,High School,Public,0,42.0
7.6,93.5,85.3,High School,Public,0,62.3
8.5,75.7,68.6,Master,Public,2,57.1
1.5,60.3,92.1,Bachelor,Public,1,42.8
2.7,81.8,82.1,Bachelor,Public,1,65.4
5.4,79.7,89.7,Bachelor,Public,0,68.9
3.7,74.6,82.2,Bachelor,Public,1,55.9
,50.4,83.7,High School,Public,0,
12.4,63.5,35.4,Bachelor,Public,3,60.1
4.5,65.8,91.7,High School,Public,1,54.9
2.0,93.9,71.2,Master,Private,2,60.8
,69.2,85.2,Bachelor,Public,0,
5.6,92.6,78.7,High School,Public,3,58.9
6.6,69.6,87.4,Bachelor,Public,1,49.9
4.0,100.0,89.5,High School,Public,1,44.8
6.7,85.5,92.4,High School,Public,2,55.0
9.4,75.5,53.1,Master,Public,0,61.5
8.3,68.4,77.0,High School,Public,3,57.3
3.9,70.0,76.7,PhD,Private,0,61.0
8.8,53.8,93.9,High School,Private,1,44.5
3.4,100.0,76.0,High School,Public,2,46.8
5.4,70.3,65.7,Bachelor,Public,0,59.5
8.9,75.8,85.1,Master,Public,2,79.1
